Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,350,70.00,56.6,68.4,341.37
02,,500,342,68.40,54.0,77.8,403.58
03,,500,17,3.40,52.0,62.2,440.61
04,,500,448,89.60,82.2,74.9,397.70
05,,344,38,11.05,67.7,71.6,335.66
06,,500,69,13.80,74.4,73.6,397.88
07,,500,360,72.00,53.4,74.3,410.66
08,,500,199,39.80,62.9,79.3,419.13
09,,500,110,22.00,63.2,74.5,449.31
