Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,367,73.40,54.3,64.5,337.83
02,,23,8,34.78,61.9,73.0,394.70
03,,500,14,2.80,56.9,61.4,385.88
04,,500,453,90.60,107.9,84.9,393.07
05,,500,309,61.80,83.7,76.8,340.24
06,,500,225,45.00,74.0,76.7,373.30
07,,500,254,50.80,57.3,84.6,391.74
08,,500,37,7.40,58.2,71.4,417.99
09,,500,355,71.00,56.6,82.6,425.32
