Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,272,54.40,54.0,74.3,361.89
02,,500,151,30.20,85.9,86.4,351.89
03,,500,41,8.20,53.7,68.8,365.63 medium 70
04,,500,331,66.20,91.7,84.5,338.11
05,,500,194,38.80,75.8,77.2,357.88
06,,500,46,9.20,72.7,76.8,414.01
07,,500,326,65.20,70.9,75.6,381.34
08,,500,38,7.60,76.8,79.5,397.32
09,,500,258,51.60,58.1,76.5,406.48
