Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,289,57.80,54.7,67.5,369.12
02,,500,125,25.00,77.1,77.5,376.13
03,,500,380,76.00,81.6,76.0,350.52
04,,500,120,24.00,71.5,76.0,315.98
05,,500,46,9.20,67.1,72.4,357.75
06,,500,452,90.40,63.8,79.0,321.30
07,,500,194,38.80,60.1,79.9,371.26
08,,500,51,10.20,54.6,65.8,410.75
09,,500,72,14.40,62.4,77.6,321.26
