Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,214,42.80,53.7,70.9,315.02
02,,500,79,15.80,64.4,76.2,402.81
03,,500,425,85.00,86.2,79.6,395.57
04,,500,182,36.40,84.2,76.1,401.29
05,,500,36,7.20,84.0,75.9,332.86
06,,500,330,66.00,83.4,77.9,324.51
07,,500,119,23.80,58.4,81.4,393.84
08,,500,121,24.20,60.3,80.5,374.28
09,,500,208,41.60,78.5,74.9,413.77
