Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,180,36.00,54.3,72.0,355.12
02,,500,132,26.40,54.3,65.9,316.07
03,,500,447,89.40,88.0,85.8,354.63
04,,500,103,20.60,61.1,77.5,417.16
05,,500,9,1.80,54.6,74.4,400.07
06,,500,208,41.60,55.8,75.6,375.34
07,,500,232,46.40,73.5,75.5,378.79
08,,500,26,5.20,68.7,76.8,377.95
09,,500,234,46.80,83.6,68.8,376.93
