Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,336,67.20,62.7,75.8,383.74
02,,500,314,62.80,80.4,77.8,371.07
03,,500,326,65.20,77.1,77.0,396.62
04,,500,110,22.00,69.1,71.4,349.83
05,,500,44,8.80,72.9,64.1,391.78
06,,500,431,86.20,65.1,81.2,403.09
07,,500,351,70.20,85.4,71.2,320.97
08,,500,268,53.60,57.2,81.9,401.44
09,,500,127,25.40,82.2,72.1,395.07
