Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,271,54.20,93.7,86.8,343.04
02,,500,202,40.40,104.1,86.1,318.51
03,,500,16,3.20,49.7,58.3,373.83
04,,500,393,78.60,64.6,84.1,314.70
05,,500,300,60.00,54.0,74.7,320.57
06,,500,36,7.20,55.4,64.9,402.24
07,,500,192,38.40,54.3,73.6,410.59
08,,500,114,22.80,53.7,68.2,428.36
09,,500,278,55.60,57.6,79.0,437.37
