Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,423,84.60,53.8,66.1,313.82
02,,500,190,38.00,122.7,86.7,336.93
03,,500,8,1.60,54.7,62.0,411.16
04,,500,484,96.80,72.5,78.8,431.64
05,,500,377,75.40,60.9,81.9,385.38
06,,500,23,4.60,63.7,71.1,396.45
07,,500,330,66.00,76.6,75.0,358.09
08,,500,364,72.80,53.9,75.6,346.65
09,,500,229,45.80,67.4,75.3,409.92
