Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,174,34.80,61.2,64.0,339.98
02,,500,55,11.00,57.8,66.2,413.47
03,,500,93,18.60,60.6,72.3,424.56
04,,500,384,76.80,57.5,67.8,382.01
05,,500,282,56.40,57.2,77.8,335.66
06,,500,40,8.00,56.2,69.0,312.20
07,,500,134,26.80,77.4,80.0,405.37
08,,500,85,17.00,74.2,75.2,420.54
09,,500,76,15.20,64.6,70.5,434.76
