Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,153,30.60,71.0,75.6,403.48
02,,500,70,14.00,57.2,76.3,390.06
03,,500,59,11.80,61.7,76.7,312.87
04,,500,240,48.00,58.7,69.3,369.73
05,,500,117,23.40,59.0,75.4,350.66
06,,500,41,8.20,53.2,69.7,380.56
07,,500,244,48.80,60.8,82.4,402.76
08,,500,165,33.00,76.0,75.7,378.21
09,,500,187,37.40,78.1,72.4,384.54
