Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,213,42.60,53.2,72.7,317.53
02,,500,113,22.60,102.7,83.1,328.21
03,,500,36,7.20,61.3,74.6,395.80
04,,500,387,77.40,119.3,86.9,383.18
05,,500,97,19.40,56.1,73.1,410.33
06,,500,26,5.20,116.1,83.1,420.61
07,,500,276,55.20,66.6,78.9,403.79
08,,500,26,5.20,62.2,76.7,350.56
09,,500,145,29.00,80.3,76.2,357.75
