Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,419,83.80,54.1,72.7,348.48
02,,500,232,46.40,54.6,73.5,359.23
03,,500,21,4.20,70.1,66.6,382.60
04,,500,273,54.60,92.1,80.9,385.46
05,,500,140,28.00,82.1,76.0,375.10
06,,500,101,20.20,66.1,80.2,429.00
07,,500,242,48.40,58.6,84.8,456.76
08,,500,288,57.60,63.0,82.5,477.17
09,,500,97,19.40,55.2,84.4,495.77
