Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,453,90.60,53.2,65.1,310.05
02,,500,185,37.00,83.2,77.2,376.17
03,,500,29,5.80,53.6,59.1,394.56
04,,500,452,90.40,95.1,86.5,326.41
05,,500,216,43.20,84.8,79.1,387.69
06,,500,158,31.60,89.5,87.4,411.45
07,,500,251,50.20,73.4,79.2,444.20
08,,500,90,18.00,55.9,70.1,361.43
09,,500,196,39.20,53.9,82.5,403.26
