Pattern,Picture,Total Frames,Correct Frames,Accuracy (%),Avg Latency (ms),Avg CPU (%),Avg Memory (MB)
01,,500,307,61.40,55.0,75.2,301.62
02,,500,131,26.20,121.2,88.0,360.07
03,,500,77,15.40,58.6,71.4,328.85
04,,500,403,80.60,118.7,88.2,411.97
05,,109,43,39.45,83.3,80.2,422.75
06,,500,85,17.00,98.6,86.1,397.43
07,,500,329,65.80,62.2,82.4,445.40
08,,500,94,18.80,67.8,82.6,443.07
09,,500,355,71.00,78.5,81.0,453.16
